,symptom,label
0,최근 두피에 뾰루지 같은 게 자주납니다 가렵기도 하구요 이거 혹시 두피지루성피부염 증상인가요ㅠㅠ,두피
1,지루성피부염이 턱쪽에만 집중적으로 있었는데요 언제부턴가 두피가 가렵고 껍질 같은게 생겨서 털면 후두둑 떨어져요두피에도 지루성피부염이 생길 수 있나요 두피지루성피부염인 경우에는 샴푸로 관리하나요,두피
2,제가 악성건성이라서 가을이나 겨울 건조해지기 시작하면 피부부터 두피까지 다 트면서 하얀색 가루 가 나와요피부도피부대로 스트레스지만 로션 좋은거 쓰면 그나마괜찮은데요 두피는 머리를 잘 감아도 두피가 터서 하얀색 가루가 나와요 비듬처럼진짜 너무 스트레스 인데ㅠㅠㅠㅠ 좋은 방법 없을까요두피관리해주는 샵 같은데 가면 좀 나아질까요,두피
3,최근 두피에 뾰루지 같은 게 자주납니다 가렵기도 하구요 이거 혹시 두피지루성피부염 증상인가요ㅠㅠ 현재 두피로 발병된 지루성으로 인해 걱정이 많으시리라,두피
4,요즘 들어서 두피에 흰 각질이 자꾸 일어나고 뒤통수쪽 두피는 노란 딱지가 생겨요 ㅠㅠ 머리도 감자마자 바로 말리고 샴푸 린스 트리트먼트하고 잘 헹구는데 그러네요  제가 집에서 탈색 3회 정도 했는데 그 뒤로 계속 그러는 거 같아요 ㅠㅠ 도와주세요,두피
5,한 두달전쯤부터 가끔씩 두피가 가려워서 긁으면 진물이 나요 그리고 굳어서 딱지 생기고 제가 평소에 머리를 좀 대충 말리는 편인데 그게 원인일까요 아니면 아토피가 있는데 두피에도 아토피가 옮은 걸까요ㅠ,두피
6,두피에 각질이 생겼는데 자꾸 간지럽고 긁으면 각질이 다 벗겨지고 그러는데 그냥 연고 바르면 되나요,두피
7,제 머리는 아니고 남자친구 머리가 문제 인데요미용실 가서 머리 자를때 마다 다운 펌을 합니다ㅠㅠ 두피에 안좋은거 알고 있는데 머리 조금 뜨는게 싫어서 계속 하고 있는데 그렇다보니 두피가 약해지고 각질이 많이 떨어져서요 방법이 있을까요,두피
8,제 두피는 지성두피입니다아침에 머리를 감아도 점심만되면 기름이 쫙 올라와서 머리가 떡지네요질문드리고 싶은건1 지성두피와 지루성두피의 차이2 약국에서 판매하는 니조랄노비프록스 사용해도 될까요니조랄노비프록스는 염증이 나면 사용하는 일반의약품이라고 하던데지성두피이고 가끔 정수리나 옆머리에 뾰루지가 납니다그렇다해서 모든 두피에 뾰루지가 나는건아니고 특정 위치에 조금 35개정도 나네요지성두피의 예방차원에서도 니조랄이나 노비프록스를 사용해도 되나요광고글 정중히 사양할게요,두피
9,두피샴푸추천 많이 있던데 가격도 너무 다 다르구비싼거랑 저렴한거랑 크게 차이나는건지 궁금해서요건조하고 간지럽고 자잘한 비듬 잘 생기는 두피에요처음 쓰는거라 너무 고가인거보다 적당한 제품으로 한번 시도나 해보려는데저한테 잘 맞는 두피샴푸추천 뭐가 있을지 여쭤봅니다,두피
10,두피가 너무 안 좋아져서두피관리방법 찾아보고 있는데쉽게하는법 있을까요두피가 너무 간지럽기도 하고ㅠㅠ두피가 안 좋아서 그런지머리가 빠지는 것 같아서요알려주세요,두피
11,머리감은지 얼마안됐는데벌써 두피가가렵습니다왜이러는걸까요샴푸는 탈모샴푸쓰고있습니다,두피
12,안녕하세요제가 오랫동안 탈모 때문에 고민해온 사람입니다이런거 저런거 다 해봤는데 다 실패돈과 시간만 들였습니다그러다가 부산두피문신 알게 되었는데요인터넷으로 계속 부산두피문신알아보고 있는 중인데부산두피문신 사진을 봐도잘 모르겠더라구요탈모 병원은 꾸준히 다니고 있는데다행이 더 빠지진 않고지금 상황을 유지하고 있습니다근데 이미 휑해진 부위를어떻게 가려야 할지 고민하다가작년에 모발이식 상담까지 갔었는데너무 무섭고 돈도 많이 들어서 포기했습니다전 겁이 진짜 많아서아픈 거 정말 정말 싫어합니다솔직하게 부산두피문신찐 리뷰 해주실 분부산두피문신 정말 괜찮은 곳으로추천 좀 부탁드려요,두피
